geo_country,lat_с,long_с
Afghanistan,33.7680065,66.2385139
Albania,41.000028,19.9999619
Algeria,28.0000272,2.9999825
Andorra,42.5407167,1.5732033
Angola,-11.8775768,17.5691241
Antigua & Barbuda,17.2234721,-61.9554608
Argentina,-34.9964963,-64.9672817
Armenia,40.7696272,44.6736646
Aruba,12.51756625,-69.98186415210564
Australia,-24.7761086,134.755
Austria,47.59397,14.12456
Azerbaijan,40.3936294,47.7872508
Bahrain,26.1551249,50.5344606
Bangladesh,24.4769288,90.2934413
Barbados,13.1500331,-59.5250305
Belarus,53.4250605,27.6971358
Belgium,50.6402809,4.6667145
Bosnia & Herzegovina,44.3053476,17.5961467
Brazil,-10.3333333,-53.2
Bulgaria,42.6073975,25.4856617
Burkina Faso,12.0753083,-1.6880314
Burundi,-3.426449,29.9324519
Cambodia,12.5433216,104.8144914
Cameroon,4.6125522,13.1535811
Canada,61.0666922,-107.991707
Central African Republic,7.0323598,19.9981227
Chile,-31.7613365,-71.3187697
China,35.000074,104.999927
Colombia,4.099917,-72.9088133
Congo - Brazzaville,-0.7264327,15.6419155
Congo - Kinshasa,-2.9814344,23.8222636
Costa Rica,10.2735633,-84.0739102
Croatia,45.3658443,15.6575209
Cuba,23.0131338,-80.8328748
Cyprus,34.9823018,33.1451285
Czechia,49.7439047,15.3381061
Côte d’Ivoire,7.9897371,-5.5679458
Denmark,55.670249,10.3333283
Dominican Republic,19.0974031,-70.3028026
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
Equatorial Guinea,1.613172,10.5170357
Estonia,58.7523778,25.3319078
Ethiopia,10.2116702,38.6521203
Faroe Islands,62.0448724,-7.0322972
Finland,63.2467777,25.9209164
France,46.603354,1.8883335
French Guiana,4.0039882,-52.999998
Georgia,32.3293809,-83.1137366
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Gibraltar,36.1285933,-5.3474761
Greece,38.9953683,21.9877132
Guadeloupe,16.2528827,-61.5686855
Guatemala,15.5855545,-90.345759
Guernsey,49.4566233,-2.5822348
Guinea,10.7226226,-10.7083587
Haiti,19.1399952,-72.3570972
Hong Kong,22.2793278,114.1628131
Hungary,47.1817585,19.5060937
Iceland,64.9841821,-18.1059013
India,22.3511148,78.6677428
Indonesia,-2.4833826,117.8902853
Iran,32.6475314,54.5643516
Iraq,33.0955793,44.1749775
Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Italy,42.6384261,12.674297
Japan,36.5748441,139.2394179
Jordan,31.1667049,36.941628
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kuwait,29.2733964,47.4979476
Kyrgyzstan,41.5089324,74.724091
Laos,20.0171109,103.378253
Latvia,56.8406494,24.7537645
Lebanon,33.8750629,35.843409
Libya,26.8234472,18.1236723
Lithuania,55.3500003,23.7499997
Luxembourg,49.8158683,6.1296751
Madagascar,-18.9249604,46.4416422
Malaysia,4.5693754,102.2656823
Maldives,3.7203503,73.2244152
Mali,16.3700359,-2.2900239
Malta,35.8885993,14.4476911
Mauritius,-20.2759451,57.5703566
Mexico,23.6585116,-102.0077097
Moldova,47.2879608,28.5670941
Monaco,43.7323492,7.4276832
Mongolia,46.8250388,103.8499736
Montenegro,42.9868853,19.5180992
Morocco,31.1728205,-7.3362482
Mozambique,-19.302233,34.9144977
Myanmar (Burma),17.1750495,95.9999652
Namibia,-23.2335499,17.3231107
Nepal,28.1083929,84.0917139
Netherlands,52.2434979,5.6343227
New Caledonia,-21.3019905,165.4880773
New Zealand,-41.5000831,172.8344077
Nicaragua,12.6090157,-85.2936911
Nigeria,9.6000359,7.9999721
North Korea,40.3736611,127.0870417
North Macedonia,41.6171214,21.7168387
Norway,61.1529386,8.7876653
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.247499
Palestine,31.462420950000002,34.262716572130714
Panama,8.559559,-81.1308434
Paraguay,-23.3165935,-58.1693445
Peru,-6.8699697,-75.0458515
Philippines,12.7503486,122.7312101
Poland,52.215933,19.134422
Portugal,39.6621648,-8.1353519
Puerto Rico,18.2247706,-66.4858295
Qatar,25.3336984,51.2295295
Romania,45.9852129,24.6859225
Russia,64.6863136,97.7453061
Rwanda,-1.9646631,30.0644358
Réunion,-21.130737949999997,55.536480112992315
Saudi Arabia,25.6242618,42.3528328
Senegal,14.4750607,-14.4529612
Serbia,44.1534121,20.55144
Seychelles,-4.6574977,55.4540146
Sierra Leone,8.6400349,-11.8400269
Singapore,1.357107,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Somalia,8.3676771,49.083416
South Africa,-28.8166236,24.991639
South Korea,36.638392,127.6961188
South Sudan,7.8699431,29.6667897
Spain,39.3260685,-4.8379791
Sri Lanka,7.877395849999999,80.66247852355892
Sudan,14.5844444,29.4917691
Svalbard & Jan Mayen,78.75,20.35
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Syria,34.6401861,39.0494106
Taiwan,23.9739374,120.9820179
Tajikistan,38.6281733,70.8156541
Tanzania,-6.5247123,35.7878438
Thailand,14.8971921,100.83273
Togo,8.7800265,1.0199765
Tunisia,33.8439408,9.400138
Turkey,38.9597594,34.9249653
Turkmenistan,39.3763807,59.3924609
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.445882
Uruguay,-32.8755548,-56.0201525
Uzbekistan,41.32373,63.9528098
Venezuela,8.0018709,-66.1109318
Vietnam,15.9266657,107.9650855
Wallis & Futuna,-13.2846405,-176.20665679493294
Yemen,16.3471243,47.8915271
Zimbabwe,-18.4554963,29.7468414
